Os01g0109432	Os01t0109432-00
Os01g0100100	Os01t0100100-01
Os01g0100300	Os01t0100300-00
Os01g0100400	Os01t0100400-01
Os01g0100466	Os01t0100466-00
Os01g0100650	Os01t0100650-00
Os01g0100900	Os01t0100900-01
Os01g0101150	Os01t0101150-00
Os01g0101175	Os01t0101175-00
Os01g0101300	Os01t0101300-01
Os01g0101500	Os01t0101500-00
Os01g0109200	Os01t0109200-00
Os01g0101700	Os01t0101700-00
Os01g0101850	Os01t0101850-00
Os01g0101900	Os01t0101900-00
Os01g0102400	Os01t0102400-01
Os01g0102850	Os01t0102850-00
Os01g0109201	Os01t0109201-01
Os01g0103050	Os01t0103050-01
Os01g0103075	Os01t0103075-00
Os01g0103650	Os01t0103650-00
Os01g0104200	Os01t0104200-00
Os01g0104300	Os01t0104300-00
Os01g0104350	Os01t0104350-00
Os01g0109366	Os01t0109366-00
Os01g0104500	Os01t0104500-01
Os01g0105450	Os01t0105450-00
Os01g0109300	Os01t0109300-01
Os01g0106500	Os01t0106500-01
Os01g0106750	Os01t0106750-00
Os01g0107200	Os01t0107200-00
Os01g0107400	Os01t0107400-01
Os01g0107750	Os01t0107750-00
Os01g0107801	Os01t0107801-00
Os01g0108200	Os01t0108200-01
Os01g0108400	Os01t0108400-00
Os01g0108500	Os01t0108500-00
Os01g0109600	Os01t0109600-00
Os01g0109750	Os01t0109750-01
Os01g0109900	Os01t0109900-00
Os01g0110050	Os01t0110050-01
Os01g0110100	Os01t0110100-01
Os01g0110600	Os01t0110600-00
Os01g0110901	Os01t0110901-00
Os01g0111000	Os01t0111000-00
Os01g0112050	Os01t0112050-01
Os01g0112201	Os01t0112201-01
Os01g0112300	Os01t0112300-01
Os01g0112600	Os01t0112600-01
Os01g0112701	Os01t0112701-00
Os01g0112800	Os01t0112800-00
Os01g0113000	Os01t0113000-00
Os01g0113150	Os01t0113150-00
Os01g0113200	Os01t0113200-01
Os01g0113325	Os01t0113325-00
Os01g0113350	Os01t0113350-00
Os01g0113450	Os01t0113450-00
Os01g0113500	Os01t0113500-01
Os01g0113650	Os01t0113650-00
Os01g0113700	Os01t0113700-00
Os01g0113750	Os01t0113750-00
Os01g0113833	Os01t0113833-00
Os01g0113950	Os01t0113950-00
Os01g0114000	Os01t0114000-00
Os01g0114050	Os01t0114050-00
Os01g0114150	Os01t0114150-00
Os01g0114400	Os01t0114400-00
Os01g0114401	Os01t0114401-00
Os01g0114402	Os01t0114402-00
Os01g0114450	Os01t0114450-00
Os01g0114550	Os01t0114550-01
Os01g0114600	Os01t0114600-00
Os01g0114650	Os01t0114650-00
Os01g0114700	Os01t0114700-00
Os01g0115100	Os01t0115100-01
Os01g0115500	Os01t0115500-00
Os01g0115533	Os01t0115533-00
Os01g0115566	Os01t0115566-00
Os01g0115700	Os01t0115700-00
Os01g0115725	Os01t0115725-00
Os01g0115750	Os01t0115750-00
Os01g0115751	Os01t0115751-00
Os01g0115752	Os01t0115752-00
Os01g0115900	Os01t0115900-00
Os01g0115950	Os01t0115950-00
Os01g0116000	Os01t0116000-00
Os01g0116100	Os01t0116100-01
Os01g0116101	Os01t0116101-00
Os01g0116250	Os01t0116250-00
Os01g0116300	Os01t0116300-01
Os01g0116650	Os01t0116650-00
Os01g0116800	Os01t0116800-00
Os01g0116900	Os01t0116900-00
Os01g0116901	Os01t0116901-00
Os01g0117000	Os01t0117000-00
Os01g0117025	Os01t0117025-00
Os01g0117050	Os01t0117050-01
