EntrezID	SL2.5_ID
101260876	Solyc10g008210
100191115	Solyc06g072480
101254400	Solyc07g006800
101260442	Solyc06g071540
101252440	Solyc01g106390
101264664	Solyc09g007080
101262530	Solyc06g082800
101259028	Solyc03g007860
101247434	Solyc06g048620
101267649	Solyc09g092080
101244799	Solyc09g092080
101248484	Solyc05g055160
101253750	Solyc02g062040
101244902	Solyc09g083370
101260659	Solyc07g065280
101260810	Solyc03g115800
101265479	Solyc01g091860
101248870	Solyc04g057890
101250674	Solyc12g087900
101263464	Solyc09g090660
101257034	Solyc02g081700
101245641	Solyc04g057880
101260535	Solyc05g055790
101260465	Solyc08g076830
101261689	Solyc12g008580
101253402	Solyc08g014290
101257312	Solyc01g109070
101262142	Solyc01g010050
101268233	Solyc10g055740
101265962	Solyc01g086900
101245903	Solyc11g007120
101255159	Solyc02g080470
101267799	Solyc04g054730
101264282	Solyc02g083630
101254657	Solyc02g070210
100750252	Solyc03g116390
101243765	Solyc12g006870
101250902	Solyc07g008350
101259570	Solyc09g007250
101250764	Solyc02g079280
101264794	Solyc12g011190
101254656	Solyc02g076790
101261585	Solyc03g005470
101244700	Solyc09g020190
101254986	Solyc03g112770
101253986	Solyc03g117720
101248046	Solyc09g066400
101251228	Solyc01g109780
101255725	Solyc09g011040
101261377	Solyc10g081420
101257479	Solyc06g069570
778284	Solyc01g104590
543752	Solyc09g090610
101263520	Solyc09g090610
101245201	Solyc09g090610
101262859	Solyc09g090610
101247893	Solyc03g063690
101255760	Solyc11g067200
101250822	Solyc08g007950
101245867	Solyc08g066190
101251649	Solyc02g086850
101267113	Solyc05g009890
101251127	Solyc01g100590
101244118	Solyc01g080530
101264422	Solyc05g014980
101264194	Solyc12g099420
101244144	Solyc11g012840
101249333	Solyc03g025860
101251616	Solyc01g073940
101251604	Solyc08g062700
101246466	Solyc01g067360
101259002	Solyc01g109710
101249035	Solyc10g078350
101262214	Solyc05g013220
778358	Solyc06g076140
543542	Solyc06g053830
101260527	Solyc03g115830
101264008	Solyc05g013300
101252957	Solyc12g009210
101266229	Solyc06g053300
101256538	Solyc02g091480
101253745	Solyc02g072120
101267831	Solyc08g079280
101264727	Solyc06g008230
101250798	Solyc05g021100
101258378	Solyc06g068400
101250045	Solyc01g057300
101266057	Solyc08g069130
101262210	Solyc08g069130
101252256	Solyc12g007170
101257676	Solyc06g084050
104645739	Solyc02g085090
101258618	Solyc11g062430
101256978	Solyc06g050120
101255613	Solyc08g068070
101261673	Solyc10g081410
101265594	Solyc01g109720
101263033	Solyc06g050560
101261383	Solyc11g010170
101262901	Solyc12g040870
101254080	Solyc04g007020
100037498	Solyc01g100200
101245623	Solyc12g005730
101252165	Solyc03g114070
101249862	Solyc01g098160
101258231	Solyc12g014170
101253301	Solyc07g065470
543853	Solyc01g080010
101259816	Solyc03g059490
101245702	Solyc01g109580
101249338	Solyc12g055830
543548	Solyc01g067750
101248172	Solyc12g005850
101264713	Solyc03g115450
101254220	Solyc07g047830
101246607	Solyc12g089190
543779	Solyc03g121070
101248783	Solyc06g073400
101249445	Solyc12g094640
101260373	Solyc09g065400
101265566	Solyc08g061490
101267168	Solyc01g111610
101262367	Solyc10g078240
101265882	Solyc02g079960
101253011	Solyc04g005680
101257063	Solyc04g005680
101253922	Solyc04g005680
101255630	Solyc09g091450
101255715	Solyc08g006960
101253279	Solyc02g084360
101252945	Solyc02g084360
101253617	Solyc09g007440
101244558	Solyc12g040320
101268327	Solyc01g109860
101262550	Solyc01g005060
101253833	Solyc01g106430
101261726	Solyc07g042930
101246365	Solyc08g081570
101244810	Solyc09g089780
101264817	Solyc04g074690
101251805	Solyc08g078550
101253965	Solyc11g062020
101259814	Solyc12g009610
101255476	Solyc12g056790
104645684	Solyc02g091310
101251263	Solyc12g044730
101267528	Solyc06g035760
101260492	Solyc02g094420
101243936	Solyc10g018520
101244045	Solyc10g076300
101249670	Solyc08g080140
101247309	Solyc04g014210
101257543	Solyc12g042640
101245216	Solyc10g085380
