EntrezID	SL2.5_TranscriptID
101260876	Solyc10g008210.2
100191115	Solyc06g072480.1
101254400	Solyc07g006800.1
101260442	Solyc06g071540.2
101252440	Solyc01g106390.2
101264664	Solyc09g007080.2
101262530	Solyc06g082800.2
101259028	Solyc03g007860.1
101247434	Solyc06g048620.2
101267649	Solyc09g092080.2
101244799	Solyc09g092080.2
101248484	Solyc05g055160.2
101253750	Solyc02g062040.2
101244902	Solyc09g083370.2
101260659	Solyc07g065280.2
101260810	Solyc03g115800.1
101265479	Solyc01g091860.2
101248870	Solyc04g057890.2
101250674	Solyc12g087900.1
101263464	Solyc09g090660.2
101257034	Solyc02g081700.1
101245641	Solyc04g057880.2
101260535	Solyc05g055790.2
101260465	Solyc08g076830.1
101261689	Solyc12g008580.1
101253402	Solyc08g014290.1
101257312	Solyc01g109070.2
101262142	Solyc01g010050.2
101268233	Solyc10g055740.1
101265962	Solyc01g086900.2
101245903	Solyc11g007120.1
101255159	Solyc02g080470.2
101267799	Solyc04g054730.2
101264282	Solyc02g083630.2
101254657	Solyc02g070210.2
100750252	Solyc03g116390.2
101243765	Solyc12g006870.1
101250902	Solyc07g008350.2
101259570	Solyc09g007250.2
101250764	Solyc02g079280.2
101264794	Solyc12g011190.1
101254656	Solyc02g076790.2
101261585	Solyc03g005470.2
101244700	Solyc09g020190.2
101254986	Solyc03g112770.2
101253986	Solyc03g117720.2
101248046	Solyc09g066400.1
101251228	Solyc01g109780.2
101255725	Solyc09g011040.1
101261377	Solyc10g081420.1
101257479	Solyc06g069570.2
778284	Solyc01g104590.2
543752	Solyc09g090610.2
101263520	Solyc09g090610.2
101245201	Solyc09g090610.2
101262859	Solyc09g090610.2
101247893	Solyc03g063690.1
101255760	Solyc11g067200.1
101250822	Solyc08g007950.2
101245867	Solyc08g066190.1
101251649	Solyc02g086850.1
101267113	Solyc05g009890.1
101251127	Solyc01g100590.2
101244118	Solyc01g080530.2
101264422	Solyc05g014980.2
101264194	Solyc12g099420.1
101244144	Solyc11g012840.1
101249333	Solyc03g025860.2
101251616	Solyc01g073940.2
101251604	Solyc08g062700.2
101246466	Solyc01g067360.2
101259002	Solyc01g109710.2
101249035	Solyc10g078350.1
101262214	Solyc05g013220.2
778358	Solyc06g076140.2
543542	Solyc06g053830.2
101260527	Solyc03g115830.1
101264008	Solyc05g013300.1
101252957	Solyc12g009210.1
