Os01g0100900	Q52RG7
Os01g0102800	Q7F2E4
Os01g0102900	Q03200
Os01g0103600	Q9FTZ2
Os01g0106900	Q8W250
Os01g0107900	Q657X6
Os01g0110100	Q657S5
Os01g0111600	Q9ASJ1
Os01g0112400	Q9ASI1
Os01g0118300	Q0JR55
Os01g0124401	Q0JR25
Os01g0126100	Q9AWU4
Os01g0126200	Q5ZE07
Os01g0126900	Q7F757
Os01g0127000	Q5ZE00
Os01g0127200	A2ZNT5
Os01g0128300	Q5ZEG0
Os01g0129200	Q9LG97
Os01g0130000	Q9LDU0
Os01g0130200	Q5ZEF1
Os01g0131800	Q9LGB4
Os01g0132800	Q5ZCL8
Os01g0135700	Q5ZCK5
Os01g0135800	Q943Q3
Os01g0135900	Q943E9
Os01g0136000	Q943E7
Os01g0136100	P27777
Os01g0136200	Q943E6
Os01g0140700	Q9AWS7
Os01g0141000	Q9AWS0
Os01g0141700	Q84KJ3
Os01g0142100	Q0JQS5
Os01g0144340	A2ZP58
Os01g0147900	P48494
Os01g0149400	Q94JJ7
Os01g0149600	Q94JJ4
Os01g0149800	P94029
Os01g0150200	Q5ZEJ0
Os01g0152300	Q9LGI2
Os01g0152700	Q9LGH8
Os01g0152900	Q7GBK0
Os01g0153100	Q9LGH4
Os01g0153300	Q94JE1
Os01g0157700	Q5ZCC5
Os01g0158000	Q9FYP9
Os01g0164500	Q761Z9
Os01g0164600	Q942P9
Os01g0165000	Q0JQF7
Os01g0166100	Q942N7
Os01g0168200	Q9AS75
Os01g0169800	Q5VQG8
Os01g0170000	Q5VQG4
Os01g0172100	Q5VQL3
Os01g0172200	Q5VQL1
Os01g0172400	Q43007
Os01g0174600	Q5VR07
Os01g0174700	Q94E49
Os01g0174900	Q0JQ97
Os01g0176700	Q5VRW2
Os01g0177400	Q9FU53
Os01g0177900	Q8GU87
Os01g0178500	Q5VRD1
Os01g0182200	Q5VR89
Os01g0182600	Q9AWL7
Os01g0184100	Q5VRY1
Os01g0184500	Q5VRY0
Os01g0184900	Q9LGR0
Os01g0185300	Q9LGQ6
Os01g0187600	Q0JQ12
Os01g0188400	P43279
Os01g0190300	Q9LG86
Os01g0190400	Q1WM15
Os01g0192000	Q9FU27
Os01g0194300	Q9FDY4
Os01g0194600	Q5SMY5
